13,15,17,19,21,23,24,26,27,27,28,27,26,25,23
10,12,14,16,18,19,20,22,24,26,27,27,27,26,25
8,9,11,12,13,13,14,16,20,23,25,27,27,27,26
5,6,7,7,7,8,9,11,14,18,22,24,26,27,27
2,3,3,3,4,6,7,9,11,14,17,21,24,26,27
0,0,0,0,2,4,6,7,9,11,13,16,20,23,25
-2,-3,-3,-3,-1,1,2,4,6,7,9,12,15,18,22
-4,-5,-5,-5,-4,-3,-2,-1,1,3,5,7,10,13,17
-6,-7,-7,-7,-6,-6,-6,-5,-3,-1,1,3,5,8,12
-7,-8,-8,-7,-7,-7,-7,-7,-6,-4,-2,0,2,4,7
-9,-9,-8,-7,-7,-6,-6,-7,-7,-6,-5,-3,-1,1,3
-9,-9,-8,-7,-6,-6,-5,-6,-7,-7,-6,-5,-4,-2,-1
-9,-9,-8,-7,-6,-5,-3,-3,-4,-5,-6,-6,-5,-5,-4
-8,-9,-8,-7,-6,-5,-3,-1,-2,-3,-5,-6,-7,-7,-7
-6,-8,-8,-7,-7,-6,-4,-2,-1,-2,-4,-6,-8,-10,-10
