6,6,5,6,6,6,5,4,3,2,1,-1,-1,-1,0
4,3,3,3,2,2,1,-1,-3,-4,-6,-8,-8,-8,-7
1,1,0,0,-1,-1,-3,-5,-8,-11,-13,-14,-14,-13,-11
-1,-1,-2,-2,-2,-3,-7,-10,-14,-17,-18,-18,-15,-12,-9
-3,-3,-3,-3,-4,-7,-11,-15,-19,-20,-18,-16,-11,-6,-1
-4,-3,-3,-4,-6,-10,-15,-19,-20,-18,-14,-10,-4,2,7
-4,-4,-5,-6,-9,-13,-17,-18,-16,-13,-9,-5,1,7,11
-5,-5,-6,-8,-11,-14,-15,-14,-11,-8,-5,0,5,10,14
-5,-5,-6,-8,-10,-12,-12,-10,-7,-3,0,4,9,13,15
-3,-4,-5,-6,-7,-8,-7,-5,-2,1,4,8,12,14,15
2,0,-1,-2,-2,-2,-1,0,2,5,8,11,14,15,16
10,7,6,4,3,3,4,5,7,9,11,13,15,15,16
16,14,12,11,10,9,9,10,11,13,14,15,15,16,16
19,19,18,17,17,16,15,15,15,16,16,15,15,16,15
19,19,20,20,21,22,21,20,20,19,17,15,15,15,13
