7,7,6,3,0,-3,-6,-8,-10,-12,-13,-14,-15,-15,-15
6,5,2,-1,-4,-7,-9,-12,-15,-17,-18,-19,-20,-20,-19
4,2,-2,-5,-8,-10,-13,-16,-19,-21,-23,-23,-23,-22,-20
1,-2,-5,-8,-11,-14,-17,-21,-23,-25,-25,-24,-22,-19,-15
-1,-5,-8,-10,-13,-17,-20,-23,-25,-25,-23,-20,-16,-12,-7
-4,-7,-9,-12,-15,-19,-22,-24,-23,-21,-18,-14,-9,-4,1
-6,-8,-10,-13,-16,-19,-21,-21,-19,-16,-12,-7,-2,3,8
-7,-9,-11,-13,-16,-18,-18,-16,-13,-10,-5,-1,5,10,15
-7,-9,-11,-13,-14,-14,-13,-10,-7,-3,2,7,12,17,20
-7,-9,-10,-11,-11,-10,-7,-4,1,5,10,15,19,22,24
-7,-8,-9,-9,-7,-4,0,4,9,13,18,21,23,25,27
-6,-7,-7,-6,-3,1,6,11,16,20,23,24,26,27,29
-5,-6,-5,-3,1,6,12,17,21,24,25,26,27,29,31
-4,-4,-3,0,4,10,15,20,23,25,26,27,29,31,31
-2,-2,-1,3,8,13,18,21,23,24,26,28,30,30,28
